id_productora,nombre_productora,pais,inicio_actividades,contacto_productora
0,LetsGo Company,ESPAÑA,2006-04-30,34975957941
1,Live Nation,ESTADOS UNIDOS,1998-08-09,154154674
2,Janos Eventos,ARGENTINA,1983-11-12,54950400756
3,fullevent.de,ALEMANIA,2005-08-06,4996934169
4,B+D Events,ALEMANIA,1992-03-06,4980743450
5,PROSPERO PRODUCCIONES,ARGENTINA,1982-09-10,54981121681
6,Producciones oz limitada,CHILE,1982-05-04,56944340617
7,Dnj Producciones,COLOMBIA,2003-06-18,57944470684
8,ESPECTACULOS GALLO,ARGENTINA,2008-02-12,54980230860
9,Eventveranstalter Hamburg,ALEMANIA,1984-11-12,4988688472
10,Bizarro producciones limitada,CHILE,1992-12-15,56924563324
11,Sony music entertainment chile s.a.,CHILE,1987-04-30,56962981007
12,Sach producciones y eventos limitada,CHILE,1996-08-23,56976265552
13,Multimusica s.a.,CHILE,1994-03-09,56979416582
14,Somosfk,BRASIL,2000-03-30,55942340495
15,efeunodos,COLOMBIA,1993-03-29,57939984095
16,Onanof producciones limitada,CHILE,2008-01-02,56918956533
17,Aguero producciones limitada,CHILE,1995-02-09,56928968013
18,Sono producciones limitada,CHILE,2001-03-27,56916684498
19,EL MAGNO PRODUCCIONES S.R.L.,ARGENTINA,2002-05-24,54992630886
20,Arte3,CHILE,2002-02-22,56966931492
21,OZONO & PIEDRA MALA PRODUCCIONES,ARGENTINA,1984-02-14,54985656767
22,Padrao Bull Prime,BRASIL,2010-03-20,55911684208
23,Cucarro producciones limitada,CHILE,1997-08-24,56935039844
24,Bafochi ltda,CHILE,1987-12-15,56937657085
25,Yataco,ALEMANIA,2003-02-27,4941692395
26,Casa eventos,CHILE,1991-04-21,56914720995
27,Brasil Stands,BRASIL,1981-10-25,55926535235
28,German norambuena y cia ltda,CHILE,1996-12-16,56929345513
29,Your Dream,COLOMBIA,1987-01-02,57963294595
30,Rove.me,BELGICA,1985-11-08,3219126688
31,Charco booking spa,CHILE,2004-08-24,56941000398
32,Eventos flores y padilla limitada,CHILE,2003-05-28,56983878758
33,Reverb - productora de eventos,CHILE,1988-09-17,56961939488
34,Bautrip,BELGICA,1988-07-26,3257121198
35,Expat,CANADA,2010-07-16,1376542840
36,Soc concesionaria arena bicentenario s a,CHILE,2004-10-22,56992589376
37,Productora dreams pro limitada,CHILE,1995-02-06,56979236210
38,AEG,ESTADOS UNIDOS,2007-06-11,138339286
39,Lotus sonar spa,CHILE,1989-01-23,56931548178
40,K PRODUCCIONES S.A.,ARGENTINA,1994-07-17,54989688585
41,Actitud creaciones,CHILE,1987-09-26,56945716004
42,Alva producciones ltda,CHILE,1987-06-08,56929039874
43,Eventos y banqueteria leonor contreras hormazabal e.i.r.l.,CHILE,1998-03-08,56962720080
44,Eventlocations Munchen,ALEMANIA,2005-04-11,4968413577
45,Horwath Productions INC.,ESTADOS UNIDOS,1985-07-04,166739809
46,AV Company,AUSTRALIA,1988-03-30,6177546140
47,Ecopass,CHILE,1999-12-02,56960875261
48,Litmind,ALEMANIA,1982-07-27,4921039439
49,Glamour,CHILE,1995-04-01,56966710743
50,Beone - entertainment limitada,CHILE,2001-10-17,56949887315
51,Backstage rockstore s.a.,CHILE,2006-11-21,56941637925
52,Revelation,ESTADOS UNIDOS,1987-04-26,156119884
53,Agencia 360,BRASIL,2001-08-23,55981319725
54,Grandes Eventos,ESPAÑA,2001-05-03,34986537886
55,Ditecsur,BRASIL,1994-12-28,55954347705
56,Apparcel producciones limitada,CHILE,1988-03-07,56960436244
57,Merci entertainment spa,CHILE,1985-06-13,56970483595
58,Audio Level Eventos,COLOMBIA,1993-05-23,57945999780
59,Rocko Saroni Eventos,COLOMBIA,1999-02-23,57995344929
60,Xceed,BELGICA,1992-10-11,3228194846
61,Dives eirl - productora de evento,CHILE,1991-01-27,56999613501
62,Eventos mudness limitada,CHILE,2000-12-04,56981981776
63,Blackgaton,BRASIL,2005-05-19,55987249505
64,CK Events Germany,ALEMANIA,2000-07-20,4957837295
65,Entertainment group,CHILE,1997-11-07,56935819988
66,Producciones Walter Beat,COLOMBIA,1983-01-09,57916262938
67,Hartmann Studios,ESTADOS UNIDOS,1998-06-25,182398718
68,Productora de eventos moviefan limitada,CHILE,2010-10-13,56942080958
69,Andres gardeweg producciones e.i.r.l,CHILE,2002-05-21,56910425417
70,Meta proyectos sa,CHILE,1986-09-13,56940929599
71,Agosin eventos,CHILE,2000-05-27,56969057647
72,Comercial visto bueno producciones limitada,CHILE,1984-02-17,56987858010
73,Comercial caupolican limitada,CHILE,1988-04-12,56995147821
74,Eventos F.C,COLOMBIA,1997-04-19,57989921001
75,MD+,ARGENTINA,1993-06-21,54977219062
76,Carpas karen ltda,CHILE,2007-03-10,56968719305
77,Onlygroundmusic,COLOMBIA,1983-01-27,57968968795
78,GJ COMUNICACIONES,COLOMBIA,2000-04-15,57975125182
79,GL events,AUSTRALIA,2006-10-01,6127628376
80,K INTERNATIONAL,ARGENTINA,1987-12-05,54995547149
81,Sonnica producciones,CHILE,1984-06-12,56974792305
82,Europages,ALEMANIA,2009-02-03,4958133005
83,Colors producciones limitada,CHILE,2005-08-23,56948771726
84,CONTENIDOS Y ENTRETENIMIENTOS S.A.,ARGENTINA,1994-01-03,54957987145
85,Gn Producciones,COLOMBIA,2002-10-20,57974815035
86,CSI DMC,ESTADOS UNIDOS,2009-07-26,130566773
87,Energika eventos limitada,CHILE,1993-11-09,56937421120
88,Lotus producciones limitada,CHILE,2009-02-25,56991701110
89,Eventos luis maturana ortega e.i.r.l,CHILE,1987-01-15,56926172560
90,MCA,AUSTRALIA,1996-08-16,6178001589
91,Cultura ciudadana,CHILE,1999-11-14,56955784400
92,Grupo previa s.a.,CHILE,1986-03-12,56980793306
